282.824,178.834;290.108,173.031;299.609,170.387;309.431,170.447;319.52,172.374;342.87,174.935;351.169,173.806;359.118,174.902;366.664,177.811;371.468,184.621;329.481,187.516;329.946,194.677;330.54,201.468;330.901,207.939;319.923,222.074;324.078,222.388;329.06,222.936;332.933,222.868;336.544,222.576;293.324,189.76;299.22,186.441;306.063,186.542;311.711,190.685;305.641,191.513;299.203,191.452;342.965,194.392;348.469,191.855;355.149,193.214;360.732,197.433;354.231,197.381;347.998,196.811;305.122,243.451;312.119,237.704;320.171,234.769;327.881,235.895;335.127,236.293;340.987,240.023;345.243,246.137;339.263,249.258;333.161,251.72;325.582,252.351;317.68,250.741;310.615,247.594;318.659,240.68;327.368,241.143;334.891,241.754;334.192,244.601;326.039,245.335;317.245,244.028;
282.529,178.453;290.214,172.742;299.865,170.115;309.732,170.238;319.813,172.04;341.867,174.349;350.242,173.647;358.292,174.658;365.903,177.422;371.14,183.916;329.209,188.806;329.544,195.204;330.08,201.226;330.497,206.947;319.363,221.701;323.76,221.967;328.803,222.423;332.518,222.31;336.089,222.128;292.657,190.134;298.325,186.814;304.996,186.624;310.633,190.667;304.673,191.601;298.478,191.621;343.451,194.103;349.184,191.752;355.72,193.073;360.989,197.141;354.809,197.567;348.608,196.911;304.994,244.212;311.981,238.143;319.922,234.536;327.72,235.859;334.947,235.954;340.947,240.154;345.201,246.291;339.299,249.746;332.862,251.909;325.397,252.323;317.823,250.834;310.745,248.167;318.366,240.992;327.002,241.167;334.862,241.607;333.999,244.511;325.701,245.051;317.052,244.065;
281.785,178.968;289.123,172.751;298.811,170.055;308.751,170.143;318.647,172.203;341.339,174.558;349.642,173.518;357.677,174.496;365.163,177.35;370.161,183.755;328.882,189.036;329.396,195.585;330.087,201.726;330.674,207.55;319.262,221.652;323.578,221.957;328.393,222.47;332.235,222.553;335.717,222.447;290.775,189.767;296.781,185.154;304.263,185.113;309.952,190.661;303.56,191.923;296.854,191.853;342.107,194.305;347.892,190.474;355.273,191.403;360.818,196.971;354.281,198.1;347.641,197.318;305.326,244.397;312.132,237.989;320.003,234.044;327.946,235.382;335.008,235.48;340.672,239.933;344.004,246.411;338.754,250.218;332.667,252.227;325.773,252.763;318.256,251.153;311.262,248.459;318.893,240.722;327.319,240.826;334.407,241.45;333.643,244.562;326.206,245.282;317.863,243.92;
281.881,178.836;289.568,172.761;299.188,170.542;308.747,170.874;318.445,172.585;341.062,174.876;349.139,173.949;356.9,174.954;364.373,177.373;369.39,183.451;328.193,189.876;328.695,196.309;329.391,202.34;330.016,208.077;318.405,221.981;322.758,222.588;327.867,223.22;331.954,223.015;335.4,222.373;290.063,190.036;296.052,185.133;303.91,185.095;309.887,190.744;303.266,192.694;296.183,192.729;342.02,194.433;347.452,190.378;355.195,191.185;360.81,197.14;354.291,198.823;347.457,197.897;304.324,244.785;311.527,238.415;319.368,234.602;327.222,235.781;334.234,235.806;339.769,240.182;343.345,246.384;338.27,250.41;332.215,252.922;325.13,253.752;317.511,252.067;310.134,249.147;318.295,241.487;326.682,241.656;333.653,242.194;332.908,244.849;325.49,245.453;317.096,244.158;
281.407,179.576;288.849,173.032;298.639,170.448;308.495,170.686;318.5,172.393;340.528,174.98;348.777,174.073;356.658,174.747;364.411,177.096;369.57,183.511;327.944,190.026;328.393,196.378;329.075,202.419;329.753,207.964;317.974,221.944;322.471,222.75;327.554,223.466;331.481,223.22;334.992,222.503;289.87,189.84;295.833,184.763;303.956,184.837;309.93,190.592;303.146,192.677;295.99,192.768;341.755,194.093;347.304,189.921;355.311,190.649;360.958,196.784;354.32,198.761;347.374,197.847;305.204,244.858;312.261,238.551;319.842,234.681;327.48,236.099;334.277,235.865;339.642,240.281;343.245,246.598;338.409,250.554;332.765,253.208;325.879,254.11;318.219,252.283;311.187,249.22;319.142,241.486;327.032,241.981;333.368,242.3;332.913,245.049;326.165,246.022;318.267,244.366;
281.54,178.931;288.796,172.896;298.428,170.634;308.049,170.649;317.7,172.24;339.883,174.999;347.973,174.025;355.869,174.747;363.653,177.027;368.858,183.506;327.285,190.444;327.614,196.415;328.251,202.066;328.895,207.371;317.748,222.388;321.934,222.732;326.729,223.266;330.633,223.125;334.229,222.66;288.644,190.447;294.742,184.969;303.175,184.855;309.306,191.031;302.425,193.363;294.995,193.502;341.43,194.441;347.089,189.72;355.342,190.51;361.054,196.74;354.335,199.121;347.128,198.296;304.609,245.214;311.449,238.812;318.987,234.631;326.756,235.875;333.568,235.764;339.064,240.432;342.731,247.035;337.74,251.146;331.728,253.713;324.629,254.411;317.307,252.604;310.418,249.529;318.069,241.518;326.278,242.022;332.861,242.365;332.19,245.396;324.948,246.149;316.842,244.643;
280.45,179.569;287.716,173.323;297.39,170.656;307.073,170.919;316.772,172.924;339.48,175.584;347.725,174.283;355.823,175.109;363.632,177.569;368.815,184.092;326.594,190.159;326.875,196.345;327.25,202.133;327.617,207.615;316.647,222.213;320.676,222.977;325.73,223.7;329.743,223.496;333.568,222.821;288.13,189.96;294.185,184.7;302.733,184.547;308.975,190.68;302.073,193.297;294.502,193.625;340.825,194.323;346.462,189.543;354.911,190.136;360.801,196.132;354.124,198.941;346.748,198.242;303.695,245.191;310.569,239.309;317.953,234.998;325.814,236.054;332.758,235.922;338.215,240.909;342.266,247.529;337.265,251.25;331.414,253.71;324.613,254.335;316.982,252.587;309.82,249.433;317.569,241.588;325.397,241.998;331.826,242.464;331.663,245.475;324.89,246.249;316.9,244.665;
280.147,180.122;287.144,173.386;296.896,170.812;306.555,171.207;316.205,172.96;339.217,175.322;347.477,174.207;355.57,174.92;363.424,177.367;368.412,184.193;326.13,189.986;326.537,196.1;327.156,202.031;327.773,207.605;316.279,222.32;320.488,222.918;325.674,223.596;329.813,223.411;333.652,222.808;287.795,190.643;293.948,184.972;302.786,184.787;309.085,190.88;301.951,193.519;294.321,193.951;340.105,194.184;345.882,189.192;354.43,189.742;360.333,196.228;353.513,198.893;346.075,198.05;304.173,244.807;310.911,238.847;318.154,234.758;325.779,236.175;332.475,235.96;337.955,240.746;342.037,247.254;336.842,251.358;330.823,253.721;323.962,254.277;316.659,252.533;309.944,249.242;317.512,241.382;325.244,242;331.649,242.545;331.373,245.288;324.602,245.988;316.846,244.475;
279.893,179.591;286.802,172.826;296.328,170.558;305.647,171.034;315.071,172.85;338.467,175.237;346.63,174.27;354.488,174.794;362.157,176.946;367.437,183.421;325.281,190.302;325.638,196.593;326.234,202.682;326.853,208.45;315.272,221.748;319.58,222.679;324.794,223.576;329.034,223.369;332.801,222.537;287.033,190.018;293.144,184.362;301.783,184.211;308.034,190.313;301.155,193.194;293.47,193.46;339.627,193.69;345.291,188.658;353.736,189.05;359.553,195.436;352.976,198.46;345.56,197.664;303.112,244.022;310.112,238.325;317.206,234.634;324.602,236.072;330.947,235.643;336.336,239.805;341.073,245.581;335.922,249.627;330.018,252.302;323.153,253.013;315.751,251.148;308.951,248.162;317.099,240.909;324.241,241.91;330.29,241.887;330.232,244.412;323.507,245.139;316.128,243.636;
280.327,180.432;287.035,173.792;296.524,171.046;305.984,171.363;315.545,173.152;338.239,175.726;346.52,174.471;354.523,174.884;362.341,177.17;367.713,183.592;324.981,189.958;325.302,196.387;325.895,202.781;326.497,208.763;315.222,222.136;319.479,222.726;324.56,223.401;328.573,223.298;332.457,222.636;287.045,190.571;293.179,184.38;301.834,184.078;307.975,190.412;301.169,193.443;293.505,193.809;339.493,193.709;345.071,188.564;353.495,188.982;359.34,195.503;352.613,198.358;345.227,197.587;302.783,244.707;309.836,238.803;317.012,234.909;324.475,236.272;331.051,235.918;336.51,240.22;340.772,245.947;335.779,249.973;329.978,252.572;323.196,253.327;315.704,251.556;308.844,248.554;316.543,241.185;324.039,241.944;330.192,241.953;329.85,244.247;323.342,244.945;315.747,243.551;
